Column1;Column2;Column3;Column4
chinese;pinyin;russian;level
爱;ài;любовь, любить;1
八;bā;8, восемь;1
爸爸;bàba;папа (счетное слово 个 ge или 位 wèi);1
杯子;bēizi;стакан, чашка (счетное слово 个 ge) ;1
北京;Běijīng;Пекин;1
本;běn;(счетное слово для книг, журналов и пр.);1
不客气;bú kèqi;пожалуйста, не стоит благодарности (когда вас благодарят);1
不;bù;нет, не;1
菜;cài;блюдо (счетное слово 道 dào), овощи, кухня ;1
茶;chá;чай (счетное слово, например, 杯 bēi чашка);1
吃;chī;кушать, есть;1
出租车;chūzū chē;такси (букв. сдавать в аренду + машина);1
打电话;dǎ diànhuà;звонить по телефону (букв. бить + электрический + речь);1
大;dà;большой, старший;1
的;de;"притяжательная частица; частица, указывающая на определение";1
点;diǎn;"немного, капля; час (когда говорим такой-то час); счетное слово неопред., но малого количества";1
电脑;diàn nǎo;"компьютер (букв. электрический + мозг; счетное слово 台 tái)";1
电视;diàn shì;телевидение, телевизор (счетное слово 台 tái, 个 ge);1
电影;diàn yǐng;"фильм, кино (букв. электрический + тень; сч. слово 部 bù)";1
东西;dōngxi;вещь, вещи, предмет (сч. слово 个 ge, 件 jiàn);1
都;dōu;"все; наречие, указывающее на то, что действие распространяется на все подлежащие или на все обстоятельства в равной мере; наречие для эмфатизации значения ""уже""";1
读;dú;читать, учиться, читать вслух;1
对不起;duì bu qǐ;извините, виноват, подводить;1
多;duō;много, больше;1
多少;duō shǎo;сколько? (букв. много + мало);1
儿子;érzi;сын;1
二;èr;2, два, глупый;1
饭馆;fànguǎn;"кафе, ресторан, бистро (букв. еда + ларек; сч. слово 家 jiā, 个 ge)";1
飞机;fēijī;"самолет (букв. летать + аппарат; сч. слово 架 jià)";1
分钟;fēnzhōng;минута;1
高兴;gāoxìng;радостный;1
个;ge;(универсальное счетное слово);1
工作;gōngzuò;"работать; задание, работа (сч. слово 个 ge, 份 fèn, 项 xiàng)";1
狗;gǒu;собака (сч. слово 只 zhī, 条 tiáo);1
汉语;hàn yǔ;китайский язык ;1
好;hǎo;хорошо, хороший;1
号;hào;число, день (в датах);1
喝;hē;пить;1
和;hé;"и (союз), с (кем-либо); гармония";1
很;hěn;очень;1
后面;hòumian;сзади, за, далее;1
回;huí;"возвращаться, (направительный глагол, указает на обратное направление); раз (также глагольное счетное слово)";1
会;huì;"уметь; собрание; (модальный глагол, указывает на действия в будущем или регулярные действия)";1
几;jǐ;"несколько; сколько? какой по счету?";1
家;jiā;"семья; (счетное слово для магазинов, ресторанов, отелей и т.п.)";1
叫;jiào;звать, называться, кричать;1
今天;jīn tiān;сегодня;1
九;jiǔ;9, девять;1
开;kāi;"открывать, начинать; водить (авто); включать";1
看;kàn;смотреть, читать;1
看见;kàn jiàn;видеть, увидеть;1
块;kuài;"кусок, лоскут (в том числе счетное слово); единица к-л валюты (сч. слово для денег)";1
来;lái;приходить, прибывать;1
老师;lǎoshī;учитель (сч. слова 个 ge, 位 wèi);1
了;le;"(служ. частица, в конце предложения обозначает появление новой ситуации или перемену; после гл. или прилагательного означает завершение/совершение действия или перемену состояния)";1
冷;lěng;холодный, холодно;1
里;lǐ;внутри, в;1
六;liù;6, шесть;1
吗;ma;(вопросит. частица);1
妈妈;māma;мама (сч. слово 个 ge, 位 wèi);1
买;mǎi;покупать;1
猫;māo;кошка (сч. слово 只 zhī);1
没关系;méi guānxi;ничего страшного (букв. нет отношения);1
没有;méi yǒu;"нет, отсутствует; (для отрицания действий в прош. времени)";1
米饭;mǐfàn;рис (приготовленный);1
名字;míngzi;"имя (человека или объекта; сч. слово 个 ge) ";1
明天;míng tiān;завтра;1
哪;nǎ;который? ;1
哪儿;nǎr;где? куда?;1
那;nà;"тот, та, то; (в разговорной речи часто читается nèi)";1
呢;ne;(вопросит. частица, выражающая вопрос же? ...а?);1
能;néng;мочь, быть в состоянии;1
你;nǐ;ты;1
年;nián;год ;1
女儿;nǚ ér;дочь;1
朋友;péngyou;друг (сч. слово 个 ge, 位 wèi);1
